date,open,high,low,close,volume
2021-08-23 15:29:00+05:30,35129.9,35132.6,35120.2,35125.0,11425
2021-08-24 09:15:00+05:30,35152.1,35261.95,35148.5,35155.35,70700
2021-08-24 09:17:00+05:30,35169.15,35191.5,35130.0,35170.0,27725
2021-08-24 09:19:00+05:30,35160.1,35171.2,35101.2,35120.0,29825
2021-08-24 09:21:00+05:30,35114.45,35157.65,35085.0,35146.0,30250
2021-08-24 09:23:00+05:30,35144.65,35180.0,35131.05,35160.0,28325
2021-08-24 09:25:00+05:30,35162.35,35222.35,35156.45,35208.2,24575
2021-08-24 09:27:00+05:30,35208.2,35230.0,35203.0,35221.8,20050
2021-08-24 09:29:00+05:30,35220.75,35242.95,35195.35,35235.0,23700
2021-08-24 09:31:00+05:30,35236.7,35240.0,35215.0,35237.6,12225
2021-08-24 09:33:00+05:30,35237.6,35242.1,35220.0,35236.25,11525
2021-08-24 09:35:00+05:30,35234.4,35236.25,35203.5,35219.0,8900
2021-08-24 09:37:00+05:30,35223.4,35224.9,35208.3,35222.0,7350
2021-08-24 09:39:00+05:30,35224.9,35245.3,35215.05,35222.95,21725
2021-08-24 09:41:00+05:30,35222.3,35232.8,35205.6,35215.25,8325
2021-08-24 09:43:00+05:30,35215.25,35215.25,35190.0,35202.0,13750
2021-08-24 09:45:00+05:30,35207.85,35236.7,35197.4,35210.4,9600
2021-08-24 09:47:00+05:30,35210.0,35215.5,35185.05,35186.55,9275
2021-08-24 09:49:00+05:30,35194.0,35202.1,35152.65,35173.05,16250
2021-08-24 09:51:00+05:30,35172.9,35184.35,35152.05,35153.95,9775
2021-08-24 09:53:00+05:30,35153.0,35160.0,35132.7,35142.1,15525
2021-08-24 09:55:00+05:30,35142.0,35172.95,35132.25,35154.75,10275
2021-08-24 09:57:00+05:30,35154.75,35166.0,35141.1,35160.0,7550
2021-08-24 09:59:00+05:30,35160.0,35187.95,35153.6,35180.05,6700
2021-08-24 10:01:00+05:30,35184.55,35185.0,35170.6,35181.85,8700
2021-08-24 10:03:00+05:30,35184.25,35186.0,35158.35,35166.5,13450
2021-08-24 10:05:00+05:30,35169.6,35183.0,35146.0,35163.3,8475
2021-08-24 10:07:00+05:30,35159.1,35172.3,35153.75,35154.75,4200
2021-08-24 10:09:00+05:30,35154.75,35172.0,35141.05,35172.0,8650
2021-08-24 10:11:00+05:30,35172.0,35180.0,35164.75,35180.0,5850
2021-08-24 10:13:00+05:30,35180.0,35220.25,35179.3,35203.6,20900
2021-08-24 10:15:00+05:30,35203.6,35304.9,35201.6,35302.0,95200
2021-08-24 10:17:00+05:30,35302.1,35349.0,35299.15,35342.6,62775
2021-08-24 10:19:00+05:30,35344.95,35361.55,35321.9,35342.05,68250
2021-08-24 10:21:00+05:30,35343.3,35353.9,35330.0,35340.6,44475
2021-08-24 10:23:00+05:30,35342.7,35345.0,35317.55,35324.7,24500
2021-08-24 10:25:00+05:30,35330.05,35352.25,35328.4,35352.25,19975
2021-08-24 10:27:00+05:30,35352.25,35371.5,35332.35,35342.15,38400
2021-08-24 10:29:00+05:30,35341.5,35378.25,35336.95,35361.85,45575
2021-08-24 10:31:00+05:30,35360.8,35373.7,35350.1,35354.3,17425
2021-08-24 10:33:00+05:30,35354.8,35390.0,35354.3,35389.0,29575
2021-08-24 10:35:00+05:30,35389.05,35399.75,35377.0,35379.5,21600
2021-08-24 10:37:00+05:30,35378.0,35386.15,35365.0,35365.65,12650
2021-08-24 10:39:00+05:30,35369.85,35389.0,35362.05,35367.65,19525
2021-08-24 10:41:00+05:30,35367.0,35375.0,35361.1,35373.25,6175
2021-08-24 10:43:00+05:30,35373.2,35374.35,35355.55,35359.25,11700
2021-08-24 10:45:00+05:30,35361.2,35364.95,35335.0,35337.8,30200
2021-08-24 10:47:00+05:30,35337.2,35352.25,35333.05,35338.05,11700
2021-08-24 10:49:00+05:30,35338.05,35353.45,35336.3,35353.45,12850
2021-08-24 10:51:00+05:30,35353.45,35370.0,35342.0,35368.0,7700
2021-08-24 10:53:00+05:30,35360.05,35386.0,35360.05,35385.2,12025
2021-08-24 10:55:00+05:30,35385.2,35389.0,35357.0,35363.05,8700
2021-08-24 10:57:00+05:30,35363.05,35365.0,35338.15,35352.3,9850
2021-08-24 10:59:00+05:30,35352.3,35369.15,35352.3,35363.5,5650
2021-08-24 11:01:00+05:30,35362.05,35363.5,35346.15,35351.0,6825
2021-08-24 11:03:00+05:30,35351.0,35382.0,35349.05,35378.0,14150
2021-08-24 11:05:00+05:30,35377.35,35413.85,35371.55,35410.1,53575
2021-08-24 11:07:00+05:30,35410.15,35426.85,35393.95,35412.0,28500
2021-08-24 11:09:00+05:30,35415.2,35425.0,35401.1,35402.25,29550
2021-08-24 11:11:00+05:30,35402.5,35416.0,35400.0,35400.0,10425
2021-08-24 11:13:00+05:30,35400.0,35404.0,35382.15,35382.15,12225
2021-08-24 11:15:00+05:30,35386.1,35395.85,35370.0,35390.0,23300
2021-08-24 11:17:00+05:30,35390.55,35410.0,35389.05,35403.0,8325
2021-08-24 11:19:00+05:30,35403.0,35416.75,35395.35,35416.75,6700
2021-08-24 11:21:00+05:30,35413.35,35420.35,35397.6,35400.35,12275
2021-08-24 11:23:00+05:30,35400.35,35407.95,35394.35,35407.0,4800
2021-08-24 11:25:00+05:30,35407.0,35417.95,35400.0,35411.1,6450
2021-08-24 11:27:00+05:30,35411.1,35454.85,35408.05,35448.1,55725
2021-08-24 11:29:00+05:30,35449.05,35472.35,35441.5,35461.1,39725
2021-08-24 11:31:00+05:30,35458.0,35464.0,35451.0,35451.55,13325
2021-08-24 11:33:00+05:30,35455.8,35495.0,35444.0,35490.05,36775
2021-08-24 11:35:00+05:30,35490.0,35510.9,35487.1,35500.1,44950
2021-08-24 11:37:00+05:30,35504.35,35513.1,35483.15,35493.2,33850
2021-08-24 11:39:00+05:30,35493.2,35502.0,35485.0,35485.45,21175
2021-08-24 11:41:00+05:30,35490.0,35490.0,35472.0,35479.0,12400
2021-08-24 11:43:00+05:30,35479.0,35508.95,35479.0,35495.95,11725
2021-08-24 11:45:00+05:30,35500.55,35522.65,35495.95,35508.0,36900
2021-08-24 11:47:00+05:30,35510.0,35519.95,35502.0,35505.25,10375
2021-08-24 11:49:00+05:30,35509.25,35509.25,35485.85,35491.75,12075
2021-08-24 11:51:00+05:30,35490.0,35494.35,35473.0,35490.45,16450
2021-08-24 11:53:00+05:30,35494.0,35536.6,35490.45,35521.65,45250
